Wavelength,mCherry,(AB),mCherry,(EM)
738,,0.068,,
739,,0.067,,
740,,0.066,,
741,,0.066,,
742,,0.061,,
743,,0.063,,
744,,0.06,,
745,,0.061,,
746,,0.057,,
747,,0.056,,
748,,0.056,,
749,,0.056,,
750,,0.054,,
751,,0.051,,
752,,0.052,,
753,,0.05,,
754,,0.05,,
755,,0.048,,
756,,0.045,,
757,,0.046,,
758,,0.044,,
759,,0.043,,
760,,0.04,,
761,,0.041,,
762,,0.04,,
763,,0.04,,
764,,0.039,,
765,,0.036,,
766,,0.038,,
767,,0.037,,
768,,0.034,,
769,,0.033,,
770,,0.034,,
771,,0.033,,
772,,0.032,,
773,,0.031,,
774,,0.03,,
775,,0.029,,
776,,0.03,,
777,,0.03,,
778,,0.027,,
779,,0.026,,
780,,0.027,,
781,,0.025,,
782,,0.025,,
783,,0.026,,
784,,0.024,,
785,,0.024,,
786,,0.023,,
787,,0.022,,
788,,0.022,,
789,,0.022,,
790,,0.02,,
791,,0.021,,
792,,0.02,,
793,,0.02,,
794,,0.018,,
795,,0.017,,
796,,0.02,,
797,,0.018,,
798,,0.017,,
799,,0.016,,
800,,0.017,,
